image_id,category,item_name,height,width,path
71IWMFywVeL,SOFA,Rivet Edgewest 컬렉션,2560,2560,d2/d2c0ebe5.jpg
81qdAwdmvkL,STOOL_SEATING,亚马逊品牌 - Stone & Beam Esme 记忆旋转酒吧凳，高 110 厘米，麻,2560,2560,05/05c79712.jpg
B1t++Fk6L-S,CHAIR,Stone & Beam Canfield 传统躺椅，30 英寸宽，咖啡色,2560,2560,45/45300db1.jpg
91wjVTWG1oL,RUG,"Amazon Brand – Stone & Beam Casual Geometric Cotton Area Rug, 8 x 10 Foot, Flatweave, Blue",2560,2560,a5/a51dd9b7.jpg
91wjVTWG1oL,RUG,"Amazon Brand – Stone & Beam Casual Geometric Cotton Area Rug, 4 x 6 Foot, Flatweave, Blue",2560,2560,a5/a51dd9b7.jpg
81csc8SZ7qL,TABLE,Stone & Beam 麻雀工业桌系列,2560,2560,fc/fcbfa6d9.jpg
818-iYTNGnL,PILLOW,"Amazon Basics Tufted Outdoor Patio Bench Cushion- 44 x 18 x 4 Inches, Red",2560,2560,b2/b204f444.jpg
91Jxv+b2zOL,PILLOW,"Amazon Brand – Stone & Beam Casual Global Throw Pillow - 12 x 24 Inch, Dark Denim",2560,2560,8d/8d7efc0b.jpg
81DqvukIRWL,TABLE,스톤 & 빔 컬버 리클레이밍 산업용 목재 테이블 컬렉션,2560,2560,30/30379e71.jpg
A1wODDT3SfL,RUG,STONE & 梁 salida 旧世界 Runner,2560,2560,f2/f2fc781c.jpg
91W6S8+4LpL,RUG,"Amazon Brand – Stone & Beam Striped Leather Area Rug, 4 x 6 Foot, Beige",2560,2560,34/3463e6ee.jpg
81eG3lHJwiL,BED,스톤 & 빔 프루덴스 터프트 베드 프레임 헤드보드 포함,2560,2560,99/9949a339.jpg
81eG3lHJwiL,BED,"Stone & Beam Prudence 簇绒床架，带床头板, 经典面霜",2560,2560,99/9949a339.jpg
A1-JDs14TaL,CHAIR,"아마존 브랜드 - 스톤 & 빔 라킨 회전 의자, 76.2cm W",2560,2560,32/32823f62.jpg
